SetID	P.value	N.Marker.All	N.Marker.Test	MAC	m	Method.bin	MAP	cases_cMAC	cases_cMAF	controls_cMAC	controls_cMAF	no_of_carriers	enrichment_ratio	P_regression	OR_noOfMutations	OR_L95	OR_U95	eff_estimate	eff_stdErr	chr	start	end	gene_type	strand	additional_info1	additional_info2	exome_wide_check
Gene465	0.00404570867518004	10	9	40	29	ER.A	-1	18	0.006122	22	0.00719	29	0.851	0.766507908920867	0.923	0.544	1.567	-0.08	0.27	1	696500	697500	protein_coding	+	info465	info465	NA
Gene276	0.00490135776947651	10	8	22	21	ER.A	-1	17	0.005782	5	0.001634	21	3.539	0.00877455338395603	3.901	1.409	10.795	1.361	0.519	1	413000	414000	non_coding	-	info276	info276	NA
Gene1156	0.00553771849815149	10	10	34	21	ER.A	-1	7	0.002381	27	0.008824	21	0.27	0.0218520586592309	0.457	0.234	0.893	-0.783	0.341	1	1733000	1734000	non_coding	-	info1156	info1156	NA
Gene405	0.00617427655247956	10	6	23	15	ER.A	-1	3	0.00102	20	0.006536	15	0.156	0.0186850491399686	0.293	0.105	0.815	-1.227	0.522	1	606500	607500	protein_coding	+	info405	info405	NA
Gene621	0.00755496331037951	10	10	40	20	ER.A	-1	30	0.010204	10	0.003268	20	3.122	0.038107246943799	1.703	1.03	2.816	0.532	0.257	1	930500	931500	protein_coding	+	info621	info621	NA
Gene1282	0.00814745036477222	10	10	33	13	ER.A	-1	2	0.00068	31	0.010131	13	0.067	0.0539943010732981	0.29	0.082	1.021	-1.238	0.642	1	1922000	1923000	non_coding	-	info1282	info1282	NA
Gene234	0.00878483231346466	10	7	16	10	ER	0.000298659006255376	15	0.005102	1	0.000327	10	15.602	0.0549198894607619	7.426	0.959	57.522	2.005	1.045	1	350000	351000	non_coding	-	info234	info234	NA
Gene577	0.0105532661001047	10	9	43	35	MA	-1	21	0.007143	22	0.00719	35	0.993	0.977505864694522	1.008	0.586	1.734	0.008	0.277	1	864500	865500	protein_coding	+	info577	info577	NA
Gene115	0.0107554830892332	10	6	19	15	ER	6.25638140931189e-06	15	0.005102	4	0.001307	15	3.904	0.0418897859070598	2.953	1.041	8.381	1.083	0.532	1	171500	172500	protein_coding	+	info115	info115	NA
Gene920	0.0108955916390504	10	10	53	25	MA	-1	11	0.003741	42	0.013725	25	0.273	0.015692649315039	0.561	0.351	0.897	-0.578	0.239	1	1379000	1380000	non_coding	-	info920	info920	NA
Gene366	0.0113425877774906	10	10	32	21	ER.A	-1	10	0.003401	22	0.00719	21	0.473	0.181284206764789	0.674	0.377	1.202	-0.395	0.296	1	548000	549000	non_coding	-	info366	info366	NA
Gene839	0.0118934690088625	10	10	45	24	MA	-1	35	0.011905	10	0.003268	24	3.643	0.0242033888151982	1.833	1.082	3.103	0.606	0.269	1	1257500	1258500	protein_coding	+	info839	info839	NA
Gene1161	0.012720445712951	10	8	24	17	ER.A	-1	17	0.005782	7	0.002288	17	2.527	0.169470352155898	1.67	0.803	3.473	0.513	0.373	1	1740500	1741500	protein_coding	+	info1161	info1161	NA
Gene408	0.014883229116583	10	10	39	28	ER.A	-1	14	0.004762	25	0.00817	28	0.583	0.181828526513617	0.694	0.406	1.186	-0.365	0.274	1	611000	612000	non_coding	-	info408	info408	NA
Gene418	0.0160133733146418	10	10	44	29	MA	-1	11	0.003741	33	0.010784	29	0.347	0.0194317654121625	0.505	0.285	0.896	-0.682	0.292	1	626000	627000	non_coding	-	info418	info418	NA
Gene5	0.016170569448088	10	7	32	15	ER.A	-1	4	0.001361	28	0.00915	15	0.149	0.0653375007442469	0.453	0.195	1.052	-0.792	0.43	1	6500	7500	protein_coding	+	info5	info5	NA
Gene434	0.016748586028486	10	4	14	11	ER	0.000163750783290409	12	0.004082	2	0.000654	11	6.242	0.0528252567240766	4.23	0.983	18.21	1.442	0.745	1	650000	651000	non_coding	-	info434	info434	NA
Gene929	0.0168719408244624	10	6	17	12	ER	8.98924456479842e-05	2	0.00068	15	0.004902	12	0.139	0.0365613603484504	0.238	0.062	0.914	-1.437	0.687	1	1392500	1393500	protein_coding	+	info929	info929	NA
Gene375	0.017739630966225	10	10	47	27	MA	-1	15	0.005102	32	0.010458	27	0.488	0.130143310411916	0.713	0.46	1.105	-0.338	0.223	1	561500	562500	protein_coding	+	info375	info375	NA
Gene113	0.0184789223667977	10	8	33	15	ER.A	-1	5	0.001701	28	0.00915	15	0.186	0.0357036683385952	0.491	0.253	0.954	-0.711	0.339	1	168500	169500	protein_coding	+	info113	info113	NA
Gene529	0.0185055593463644	10	6	23	16	ER.A	-1	8	0.002721	15	0.004902	16	0.555	0.253138450984704	0.663	0.327	1.342	-0.411	0.36	1	792500	793500	protein_coding	+	info529	info529	NA
Gene968	0.0185652729997302	10	8	27	19	ER.A	-1	11	0.003741	16	0.005229	19	0.715	0.51015425672657	0.815	0.443	1.499	-0.205	0.311	1	1451000	1452000	non_coding	-	info968	info968	NA
Gene1160	0.0190426107637983	10	9	41	15	MA	-1	32	0.010884	9	0.002941	15	3.701	0.0650357096542464	1.525	0.974	2.388	0.422	0.229	1	1739000	1740000	non_coding	-	info1160	info1160	NA
Gene1309	0.0200178319427778	10	9	30	23	ER.A	-1	9	0.003061	21	0.006863	23	0.446	0.0744309193828098	0.527	0.261	1.065	-0.641	0.359	1	1962500	1963500	protein_coding	+	info1309	info1309	NA
